symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,Houston, Texas,1957-03-04
HIG,Hartford (The),Financials,Property & Casualty Insurance,Hartford, Connecticut,1957-03-04
HON,Honeywell,Industrials,Industrial Conglomerates,Charlotte, North Carolina,1957-03-04
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,Hershey, Pennsylvania,1957-03-04
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,Pittsburgh, Pennsylvania,1957-03-04
IBM,IBM,Information Technology,IT Consulting & Other Services,Armonk, New York,1957-03-04
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,Memphis, Tennessee,1957-03-04
KMB,Kimberly-Clark,Consumer Staples,Household Products,Irving, Texas,1957-03-04
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Atlanta, Georgia,1957-03-04
KR,Kroger,Consumer Staples,Food Retail,Cincinnati, Ohio,1957-03-04
LMT,Lockheed Martin,Industrials,Aerospace & Defense,Bethesda, Maryland,1957-03-04
MMM,3M,Industrials,Industrial Conglomerates,Saint Paul, Minnesota,1957-03-04
MO,Altria,Consumer Staples,Tobacco,Richmond, Virginia,1957-03-04
MRK,Merck & Co.,Health Care,Pharmaceuticals,Kenilworth, New Jersey,1957-03-04
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,Houston, Texas,1957-03-04
MSI,Motorola Solutions,Information Technology,Communications Equipment,Chicago, Illinois,1957-03-04
NOC,Northrop Grumman,Industrials,Aerospace & Defense,West Falls Church, Virginia,1957-03-04
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,Atlanta, Georgia,1957-03-04
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,Houston, Texas,1957-03-04
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,Newark, New Jersey,1957-03-04
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Purchase, New York,1957-03-04
PFE,Pfizer,Health Care,Pharmaceuticals,New York City, New York,1957-03-04
PG,Procter & Gamble,Consumer Staples,Personal Care Products,Cincinnati, Ohio,1957-03-04
PPG,PPG Industries,Materials,Specialty Chemicals,Pittsburgh, Pennsylvania,1957-03-04
RTX,RTX Corporation,Industrials,Aerospace & Defense,Waltham, Massachusetts,1957-03-04
SEE,Sealed Air,Materials,Paper & Plastic Packaging Products & Materials,Charlotte, North Carolina,1957-03-04
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,Houston, Texas,1957-03-04
SO,Southern Company,Utilities,Electric Utilities,Atlanta, Georgia,1957-03-04
SPGI,S&P Global,Financials,Financial Exchanges & Data,New York City, New York,1957-03-04
UNP,Union Pacific Corporation,Industrials,Rail Transportation,Omaha, Nebraska,1957-03-04
WRK,WestRock,Materials,Paper & Plastic Packaging Products & Materials,Atlanta, Georgia,1957-03-04
XEL,Xcel Energy,Utilities,Multi-Utilities,Minneapolis, Minnesota,1957-03-04
XOM,ExxonMobil,Energy,Integrated Oil & Gas,Irving, Texas,1957-03-04
D,Dominion Energy,Utilities,Electric Utilities,Richmond, Virginia,
FCX,Freeport-McMoRan,Materials,Copper,Phoenix, Arizona,
HUM,Humana,Health Care,Managed Health Care,Louisville, Kentucky,
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,Milwaukee, Wisconsin,
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,Baltimore, Maryland,
TXN,Texas Instruments,Information Technology,Semiconductors,Dallas, Texas,
USB,U.S. Bank,Financials,Diversified Banks,Minneapolis, Minnesota,
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,Benton Harbor, Michigan,
WM,Waste Management,Industrials,Environmental & Facilities Services,Houston, Texas,
WY,Weyerhaeuser,Real Estate,Timber REITs,Seattle, Washington,
